GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-plus-order-service,com.bookplus.order.adapter.in.web,DeliveryProofController,271,0,46,0,57,0,36,0,13,0
book-plus-order-service,com.bookplus.order.adapter.in.web,AdminCouponController,159,0,18,0,34,0,14,0,5,0
book-plus-order-service,com.bookplus.order.adapter.in.web,AdminCouponController.CreateCouponRequest,18,0,0,0,1,0,1,0,1,0
book-plus-order-service,com.bookplus.order.adapter.in.web,OrderController,336,0,30,0,64,0,31,0,16,0
book-plus-order-service,com.bookplus.order.adapter.in.web,GlobalExceptionHandler,108,0,2,0,21,0,12,0,11,0
book-plus-order-service,com.bookplus.order.adapter.in.web,CouponController,9,0,0,0,1,0,1,0,1,0
book-plus-order-service,com.bookplus.order.adapter.in.web,CouponController.ValidateCouponRequest,9,0,0,0,1,0,1,0,1,0
book-plus-order-service,com.bookplus.order.application.usecase,CreateOrderUseCaseImpl,0,108,0,0,0,16,0,3,0,3
book-plus-order-service,com.bookplus.order.application.usecase,GetOrderUseCaseImpl,65,0,6,0,13,0,11,0,8,0
book-plus-order-service,com.bookplus.order.application.usecase,CancelOrderUseCaseImpl,5,84,1,5,0,18,2,6,1,4
book-plus-order-service,com.bookplus.order.application.usecase,UpdateOrderStatusUseCaseImpl,81,86,9,3,14,15,16,10,10,10
